Report generated on: 11-03-2021 14:26:32,,,,population (Mperson),,,INTL.4702-33-WORL-THP.A,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
    World,5294251.497,5396473.713,5481774.228,5581568.694,5663996.168,5745283.966,5826303.776,5906491.077,5985040.908,6063581.697,6141880.597,6220160.566,6298597.474,6377289.074,6456652.849,6536810.248,6618223.751,6700371.9,6783134.44,6865794.185,6948810.017,7041712.689,7126262.296,7211822.209,7297269.981,7379227.319,7464042.846,7548343.79,7632246.901,7714646.929
        Afghanistan,12412.3,13299,14485.5,15816.6,17075.7,18110.7,18853.4,19357.1,19737.8,20170.8,20780,21607,22600.8,23680.9,24726.7,25654.3,26433.1,27100.5,27722.3,28394.8,29185.5,30117.4,31161.4,32269.6,33370.8,34413.6,35383,36296.1,37173.5,38050.9
        Albania,3286.07,3280.4,3245.89,3195.2,3146.52,3112.92,3098.7,3099.75,3110.7,3122.7,3129.25,3129.7,3126.18,3118.02,3104.89,3086.81,3063.02,3033.99,3002.68,2973.04,2948.03,2928.6,2914.09,2903.79,2896.31,2890.52,2886.43,2884.17,2882.05,2879.92
        Algeria,25758.9,26400.5,27028.3,27635.5,28213.8,28757.8,29266.4,29743,30192.8,30623.4,31042.2,31451.5,31855.1,32264.2,32692.2,33149.7,33641,34167,34730.6,35333.9,35977.4,36661.4,37383.9,38140.1,38923.7,39728,40551.4,41389.2,42209.8,43030.4
        American Samoa,47.347,48.685,49.896,51.02,52.095,53.161,54.211,55.221,56.171,57.053,57.821,58.494,59.08,59.504,59.681,59.562,59.107,58.365,57.492,56.683,56.079,55.759,55.667,55.713,55.791,55.812,55.741,55.62,55.465,55.312
        Angola,11848.4,12248.9,12657.4,13075,13503.8,13945.2,14400.7,14871.6,15359.6,15866.9,16395.5,16945.8,17519.4,18121.5,18758.1,19433.6,20149.9,20905.4,21695.6,22514.3,23356.2,24220.7,25107.9,26015.8,26941.8,27884.4,28842.5,29816.8,30833.3,31849.8
        Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
        Antigua and Barbuda,62.533,63.7608,64.9886,66.2164,67.4442,68.672,70.139,71.606,73.073,74.54,76.007,77.098,78.189,79.28,80.371,81.462,82.7756,84.0892,85.4028,86.7164,88.03,89.1382,90.2464,91.3546,92.4628,93.571,94.4424,95.3138,96.1852,97.0566
        Argentina,32675.95,33131.9,33579.75,34020.12,34453.77,34880.85,35299.2,35709,36113.68,36516.9,36921.7,37327.62,37732.75,38137.02,38540.62,38942.95,39341.35,39736.48,40132.93,40535.52,40948.95,41375.93,41813.05,42254.68,42694.98,43129.3,43559.05,43987.2,44412.27,44832.7
        Armenia,--,--,3442.82,3363.11,3283.66,3217.35,3168.21,3133.08,3108.69,3089.02,3069.6,3050.69,3033.98,3017.94,3000.72,2981.26,2958.3,2932.61,2907.61,2888.09,2877.31,2876.54,2884.24,2897.59,2912.4,2925.56,2936.15,2944.79,2950.94,2957.09
        Aruba,62.152,64.623,68.24,72.495,76.705,80.324,83.211,85.45,87.28,89.009,90.866,92.892,94.992,97.016,98.744,100.028,100.83,101.226,101.362,101.452,101.665,102.05,102.565,103.165,103.776,104.339,104.865,105.361,105.829,106.298
        Australia,17092.82,17309.1,17497.62,17655.47,17827.45,18029.93,18246.45,18442.8,18630.45,18836.07,19057.72,19299.15,19521.48,19744.05,19960.65,20206.75,20495.62,20877.3,21303.9,21730.75,22065.65,22387.15,22780.32,23168.3,23514.83,23859.35,24238.52,24644.28,25027.17,25408.4
        Austria,7686.107,7765.895,7851.16,7911.413,7937.96,7949.475,7960.505,7968.811,7978.205,7994.788,8013.915,8047.63,8086.537,8126.71,8179.315,8234.445,8272.225,8298.615,8324.873,8345.4,8366.34,8395.76,8435.458,8486.812,8556,8657.14,8745.72,8803.744,8845.085,8885.205
        Azerbaijan,--,--,7471.92,7581.75,7683.7,7775.42,7855.56,7925.67,7989.9,8054.13,8122.74,8197.29,8277.07,8361.43,8448.94,8538.61,8630.15,8724.24,8821.87,8924.38,9032.46,9146.28,9264.68,9385.47,9505.62,9622.74,9736.04,9845.32,9943.27,10041.2
        Bahrain,468.165,481.002,493.839,506.676,519.512,532.349,551.982,599.403,666.093,733.678,630.513,670.533,710.554,764.519,823.744,888.824,960.425,1039.3,1103.5,1178.42,1228.54,1195.02,1208.96,1253.19,1314.56,1370.32,1424.73,1501.12,1503.09,1483.76
        Bangladesh,103172,105599,107984,110351,112738,115170,117650,120161,122683,125190,127658,130089,132478,134792,136986,139036,140921,142660,144304,145925,147575,149273,151006,152761,154517,156256,157977,159685,161353,163021
        Barbados,260.933,261.912,262.89,263.869,264.893,265.955,267.047,268.183,269.334,270.455,271.511,272.494,273.423,274.331,275.283,276.32,277.475,278.701,279.946,281.107,282.131,282.987,283.698,284.294,284.825,285.327,285.798,286.229,286.61,286.99
        Belarus,--,--,10154.3,10135.1,10108.3,10077.6,10044.8,10009.4,9969.99,9924.44,9871.63,9811.4,9745.93,9679.24,9616.63,9562.08,9516.88,9480.51,9452.86,9433.16,9420.58,9415.32,9417.04,9423.5,9431.74,9439.42,9445.64,9450.23,9449.93,9449.62
        Belgium,9972.277,10008.86,10050.95,10088.5,10119.35,10138.35,10160,10184,10205.7,10229.6,10254.28,10292.38,10338.53,10381.2,10427.3,10486.8,10557.1,10636,10720.75,10807.35,10940.38,11047.7,11114.7,11164.75,11216.15,11283.43,11336.5,11381.03,11434.15,11497.32
        Belize,187.554,191.136,194.324,197.625,201.679,206.962,213.66,221.575,230.248,238.979,247.31,255.068,262.387,269.428,276.516,283.798,291.338,299.031,306.822,314.655,322.465,330.236,338.001,345.707,353.366,360.926,368.399,375.775,383.057,390.339
        Benin,4978.49,5149.5,5331.81,5521.76,5714.21,5905.55,6094.27,6281.64,6470.27,6664.1,6865.95,7076.73,7295.4,7520.56,7750,7982.22,8216.89,8454.79,8696.92,8944.71,9199.25,9460.83,9729.25,10004.6,10286.8,10576,10872.1,11175.2,11491.2,11807.2
        Bermuda,61.63,61.9918,62.3536,62.7154,63.0772,63.439,63.7546,64.0702,64.3858,64.7014,65.017,65.2656,65.5142,65.7628,66.0114,66.26,66.0856,65.9112,65.7368,65.5624,65.388,65.0494,64.7108,64.3722,64.0336,63.695,63.4106,63.1262,62.8418,62.5574
        Bhutan,530.801,531.567,532.332,533.098,533.863,534.629,545.906,557.183,568.46,579.737,591.014,602.56,614.106,625.652,637.198,648.744,656.096,663.447,670.799,678.15,685.502,693.979,702.455,710.932,719.408,727.885,736.63,745.376,754.121,762.867
        Bolivia,6864.84,7011.46,7160.92,7312.86,7466.79,7622.33,7779.27,7937.45,8096.76,8257.07,8418.27,8580.24,8742.82,8905.82,9069.04,9232.3,9395.45,9558.44,9721.46,9884.79,10048.6,10213,10377.7,10542.4,10706.5,10869.7,11031.8,11192.8,11352.9,11513
        Bosnia and Herzegovina,--,--,4233.67,4078.94,3936.53,3829.05,3764.42,3736.07,3734.34,3743.35,3751.18,3755.51,3759.39,3762.18,3764.19,3765.33,3765.42,3762.79,3754.26,3735.95,3705.48,3661.17,3604.97,3542.6,3482.11,3429.36,3386.26,3351.53,3327.96,3304.39
        Botswana,1286.755,1326.32,1363.54,1399.11,1434.06,1469.172,1504.725,1540.423,1575.825,1610.26,1643.335,1674.675,1704.638,1734.387,1765.533,1799.078,1835.91,1875.458,1915.635,1953.497,1987.11,2015.405,2039.55,2062.552,2088.62,2120.715,2159.925,2205.075,2253.925,2302.775
        Brazil,149336,151983.8,154597.8,157188,159766.2,162344.8,164939,167538.7,170115.5,172640.8,175090,177471,179798.2,182065,184263.5,186384,188416,190365.8,192255.5,194108,195941.8,197752.5,199528.2,201272.5,202989,204683.5,206369,208039.8,209673.5,211246.2
        British Virgin Islands,17.489,18.007,18.443,18.783,19.068,19.307,19.508,19.66,19.82,20.026,20.313,20.675,21.128,21.674,22.329,23.106,24.022,25.05,26.096,27.035,27.796,28.326,28.654,28.85,28.985,29.148,29.355,29.567,29.7903,30.0137
        Brunei,258.714,266.208,273.888,281.684,289.452,297.112,304.62,311.962,319.135,326.214,333.166,340.037,346.777,353.295,359.434,365.112,370.262,374.967,379.418,383.902,388.634,393.687,398.997,404.414,409.778,414.914,419.791,424.481,428.815,433.149
        Bulgaria,8706.035,8623.143,8526.335,8469.174,8439.547,8400.728,8357.355,8304.85,8250.183,8205.688,8164.995,7974.06,7829.248,7767.785,7709.788,7651.57,7593.935,7538.502,7486.2,7438.772,7389.058,7343.053,7300.555,7260.255,7218.505,7171.94,7121.33,7069.467,7018.79,6969.69
        Burkina Faso,8811.03,9050.09,9297.11,9552.47,9816.58,10089.9,10372.7,10665.5,10968.7,11282.7,11608,11944.6,12293.1,12654.6,13030.6,13421.9,13829.2,14252,14689.7,15141.1,15605.2,16081.9,16571.2,17072.8,17586,18110.6,18646.3,19193.2,19763.2,20333.3
        Burma,41335.2,41890.2,42401.7,42890,43383.4,43901.6,44452.2,45027.2,45611.2,46181.1,46719.7,47225.1,47702.2,48148.9,48564.5,48949.9,49301.1,49621.5,49929.6,50250.4,50600.8,50990.6,51413.7,51852.5,52280.8,52680.7,53045.2,53382.5,53724.9,54067.4
        Burundi,5438.96,5564.92,5685.57,5798.05,5898.96,5987.04,6060.11,6122.13,6185.56,6267.13,6378.87,6525.55,6704.12,6909.16,7131.69,7364.86,7607.85,7862.23,8126.1,8397.66,8675.61,8958.41,9245.99,9540.3,9844.3,10160,10488,10827,11181.6,11536.2
        Cabo Verde,337.953,346.229,355.763,366.057,376.409,386.288,395.533,404.248,412.513,420.456,428.178,435.701,442.955,449.925,456.619,463.034,469.171,475.067,480.846,486.667,492.644,498.858,505.241,511.74,518.276,524.74,531.14,537.499,543.662,549.825
        Cambodia,8975.6,9289.3,9623.9,9970.73,10317.9,10656.1,10982.9,11298.6,11600.5,11886.5,12155.2,12405.4,12637.7,12856.2,13066.5,13273.4,13477.7,13680,13883.8,14093.6,14312.2,14541.4,14780.5,15026.3,15274.5,15521.4,15766.3,16009.4,16245.9,16482.4
        Cameroon,11780.1,12137.9,12499.5,12864.1,13231,13600,13970.8,14344.4,14723.8,15112.6,15513.9,15928.9,16357.6,16800.9,17259.3,17733.4,18223.7,18730.3,19252.7,19789.9,20341.2,20906.4,21485.3,22077.3,22681.8,23298.4,23926.6,24566.1,25226,25885.9
        Canada,27691.12,28037.43,28371.25,28684.75,29000.65,29302.32,29610.22,29905.95,30155.15,30401.3,30685.75,31020.9,31360.05,31644.02,31940.68,32243.75,32571.18,32889,33247.1,33628.9,34004.9,34339.32,34714.22,35082.95,35437.45,35702.9,36109.48,36545.25,37065.1,37601.23
        Cayman Islands,25.312,26.544,27.78,29.069,30.514,32.166,34.065,36.156,38.329,40.42,42.303,43.935,45.351,46.632,47.902,49.261,50.74,52.28,53.836,55.322,56.672,57.6818,58.6916,59.7014,60.7112,61.721,62.5208,63.3206,64.1204,64.9202
        Central African Republic,2806.74,2878.51,2959.24,3046.15,3135.02,3222.66,3308.24,3392.43,3475.49,3558.02,3640.42,3722.02,3802.13,3881.19,3959.88,4038.38,4118.08,4198,4273.37,4337.62,4386.77,4418.64,4436.41,4447.94,4464.17,4493.17,4537.68,4596.02,4673.94,4751.85
        Chad,5963.25,6157.08,6356.74,6563.92,6781.06,7010.16,7250.97,7503.49,7770.05,8053.53,8355.65,8678.05,9019.23,9373.91,9734.76,10096.6,10457.1,10818,11183.6,11560.1,11952.1,12361,12784.8,13220.4,13663.6,14111,14561.7,15016.8,15486.5,15956.2
        Chile,13211.2,13428.65,13652.55,13874.38,14092.9,14306.58,14514.58,14716.77,14913.15,15104.15,15289.98,15469.88,15645.35,15815.4,15980.65,16144.88,16306.97,16472.78,16645.3,16825.97,17009.17,17193.88,17383.87,17567.98,17738.22,17915.95,18102.75,18312.55,18584.62,18922.75
        China,1178835,1194030,1207420,1219575,1231055,1242310,1253222,1263498,1273252,1282608,1291648,1300265,1308412,1316265,1323998,1331752,1339482,1347098,1354648,1362188,1369778,1377488,1385268,1392988,1400508,1407740,1414805,1421755,1428392,1434512
        Colombia,33102.6,33758.3,34422.6,35091.3,35759,36421.4,37076.4,37723.8,38364.3,38999.5,39630,40256,40875.4,41483.9,42075.9,42647.7,43200.9,43737.5,44255,44750.1,45222.7,45662.8,46075.7,46495.5,46967.7,47520.7,48175.1,48909.8,49567.5,50225.2
        Comoros,411.598,423.873,436.454,449.27,462.28,475.394,488.625,501.955,515.382,528.853,542.358,555.895,569.48,583.213,597.23,611.625,626.427,641.624,657.227,673.251,689.696,706.578,723.865,741.511,759.39,777.435,795.597,813.89,832.458,851.027
        Congo-Brazzaville,2356.74,2422.31,2489.95,2559.88,2632.34,2707.53,2785.81,2867.28,2951.65,3038.43,3127.42,3217.93,3310.38,3406.92,3510.47,3622.77,3745.14,3876.12,4011.49,4145.4,4273.74,4394.84,4510.2,4622.76,4736.96,4856.09,4981,5110.7,5246.5,5382.29
        Congo-Kinshasa,34612,35908.2,37333.9,38815.8,40253,41576.2,42757.2,43827.2,44850,45919.6,47105.8,48428.5,49871.7,51425.6,53068.9,54785.9,56578.1,58453.7,60411.2,62448.6,64563.9,66755.1,69020.8,71358.8,73767.5,76244.5,78789.1,81398.8,84119.6,86840.5
        Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
        Costa Rica,3119.44,3202.08,3286.52,3372.3,3458.83,3545.52,3632.36,3718.95,3803.89,3885.43,3962.37,4034.07,4100.92,4164.05,4225.16,4285.5,4345.42,4404.63,4463.12,4520.74,4577.37,4633.09,4688,4742.11,4795.39,4847.81,4899.34,4949.96,4998.01,5046.06
        Croatia,--,--,4570.805,4611.635,4653.74,4610.315,4551.08,4535.393,4530.968,4508.882,4371.28,4301.71,4305.425,4305.6,4308.935,4311.877,4313.14,4312.555,4310.61,4305.453,4294.728,4281.185,4267.33,4252.56,4233.377,4203.66,4167.885,4123.76,4087.215,4064.95
        Cuba,10597,10673.5,10736.4,10789.3,10838.5,10888.2,10939.3,10989.7,11038.7,11084.7,11126.4,11164.7,11199.7,11229.2,11250.4,11261.6,11261.2,11251.1,11237,11226.7,11225.8,11236.7,11257.1,11282.7,11306.9,11324.8,11335.1,11339.2,11335,11330.8
        Cyprus,587.141,603.069,619.231,632.944,645.399,656.333,666.313,675.215,682.862,690.497,697.549,705.539,713.72,722.893,733.067,744.013,757.916,776.333,796.93,819.14,839.751,862.011,865.878,858,847.008,848.319,854.802,864.236,875.899,888.005
        Czech Republic,--,--,--,10330.9,10333.5,10325.75,10313.7,10302.85,10293.2,10282.43,10249.3,10212.75,10195.85,10194.33,10197.55,10214.3,10242.73,10309.95,10394.9,10448.47,10477.48,10498.45,10512.12,10513.8,10528.58,10548.03,10569.45,10598.3,10634.9,10677.38
        Côte d’Ivoire,11924.9,12362.4,12812.4,13271.6,13735.4,14199.8,14665.1,15130.7,15589.4,16032.6,16454.7,16853,17231.5,17599.6,17970.5,18354.5,18754.9,19171.2,19605.6,20059.2,20532.9,21028.7,21547.2,22087.5,22647.7,23226.2,23822.7,24437.5,25084.4,25731.3
        Denmark,5142.32,5156.255,5173.68,5190.63,5208.565,5237.785,5266.085,5287.458,5306.56,5323.855,5342.015,5361.175,5377.825,5392.34,5406.24,5421.438,5439.725,5465.024,5498.08,5526.007,5550.918,5573.058,5594.335,5618.005,5647.535,5689.425,5733.2,5769.03,5796.748,5816.505
        Djibouti,590.393,598.391,606.39,614.388,622.387,630.385,647.823,665.262,682.7,700.139,717.577,730.711,743.845,756.98,770.114,783.248,794.637,806.026,817.416,828.805,840.194,854.955,869.716,884.476,899.237,913.998,928.799,943.6,958.4,973.201
        Dominica,70.422,70.377,70.546,70.818,71.044,71.105,70.933,70.592,70.183,69.828,69.65,69.671,69.84,70.102,70.387,70.58,70.718,70.797,70.829,70.848,70.877,70.912,70.954,71.019,71.091,71.175,71.307,71.46,71.626,71.808
        Dominican Republic,7133.49,7270.41,7408.34,7546.47,7683.71,7819.24,7952.77,8084.41,8214.43,8343.29,8471.32,8598.6,8724.97,8850.32,8974.44,9097.26,9218.68,9338.86,9458.08,9576.74,9695.12,9813.22,9930.92,10048.2,10165.2,10281.7,10397.7,10513.1,10624.7,10736.3
        Ecuador,10230.9,10472.5,10716.1,10961.5,11208,11455.2,11703.2,11951.5,12198.5,12442.1,12681.1,12914.7,13143.5,13369.7,13596.4,13825.8,14059.4,14296.5,14535.7,14774.4,15011.1,15243.9,15474.1,15707.5,15951.8,16212,16491.1,16785.4,17071.3,17357.2
        Egypt,56134.5,57424.6,58666.8,59880.7,61095.8,62334,63601.6,64892.3,66200.3,67515.6,68831.6,70152.7,71485,72826.1,74172.1,75523.6,76873.7,78232.1,79636.1,81134.8,82761.2,84529.2,86422.2,88404.6,90424.7,92442.5,94447.1,96442.6,98406.5,100370
        El Salvador,5270.07,5342.19,5416.33,5490.48,5561.92,5628.6,5689.94,5746.29,5797.76,5844.83,5887.93,5927,5962.14,5994.08,6023.8,6052.12,6079.4,6105.81,6131.77,6157.68,6183.88,6210.57,6237.92,6266.08,6295.12,6325.12,6356.14,6388.12,6420.82,6453.51
        Equatorial Guinea,419.188,432.844,447.269,462.637,479.099,496.768,515.844,536.459,558.496,581.765,606.18,631.662,658.388,686.67,716.949,749.527,784.494,821.686,860.839,901.589,943.64,986.861,1031.19,1076.41,1122.27,1168.57,1215.18,1262.01,1309,1355.99
        Eritrea,--,--,--,--,2215.11,2204.23,2221.86,2239.5,2257.14,2274.78,2292.41,2399.26,2506.11,2612.96,2719.8,2826.65,2895.41,2964.17,3032.92,3101.68,3170.44,3204.91,3239.39,3273.86,3308.34,3342.82,3383.54,3424.26,3464.98,3505.71
        Estonia,--,--,1511.3,1476.95,1448.07,1425.19,1406,1393.07,1379.24,1401.25,1392.72,1383.51,1375.19,1366.25,1358.85,1350.7,1342.92,1338.44,1335.74,1333.29,1329.66,1325.22,1320.17,1315.82,1314.87,1315.94,1315.64,1319.13,1324.82,1328.98
        Eswatini,822.423,845.267,866.995,887.706,907.622,926.836,945.506,963.416,979.922,994.105,1005.43,1013.61,1019.05,1022.8,1026.29,1030.57,1036.09,1042.65,1049.95,1057.46,1064.84,1072.03,1079.29,1086.84,1095.02,1104.04,1113.99,1124.81,1136.59,1148.38
        Ethiopia,47887.9,49610,51423.6,53295.6,55181,57047.9,58883.5,60697.4,62507.7,64343,66224.8,68159.4,70142.1,72170.6,74239.5,76346.3,78489.2,80674.3,82916.2,85233.9,87640,90139.9,92727,95385.8,98094.3,100836,103604,106400,109254,112109
        Falkland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
        Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
        Fiji,728.575,735.398,744.47,754.962,765.607,775.428,784.389,792.736,800.148,806.302,811.011,813.923,815.257,816.078,817.864,821.606,827.869,836.185,845.356,853.636,859.816,863.451,865.065,865.602,866.447,868.632,872.406,877.46,883.788,890.116
        Finland,4989.442,5017.555,5045.24,5069.313,5090.935,5110.05,5126.51,5141.712,5155.035,5166.93,5177.435,5189.732,5202.022,5214.69,5230.28,5248.468,5268.939,5291.66,5316.627,5342.01,5366.333,5391.52,5417.145,5442.045,5464.07,5481.475,5497.303,5509.439,5516.123,5522.524
        Former Czechoslovakia,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Serbia and Montenegro,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former U.S.S.R.,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Yugoslavia,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        France,58212,58495.58,58780.52,59022.4,59236.05,59444.6,59649.85,59856.7,60074.65,60400.1,60816.45,61257.27,61699.1,62131.68,62592.65,63058.32,63489.3,63871.4,64221.57,64543.12,64858.78,65165.15,65479.1,65953.9,66348.59,66570.8,66745.53,66945.05,67120.85,67266.75
        French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
        French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
